beban_roda_depan(%),percepatan_lateral(m/s),percepatan_aksial(m/s),sudut_kemiringan_bt(rad)
0.4917266460948115,0.021154281371014605,0.8603936753030414,0.9025338425185352
0.4811774498203583,0.02222414157180649,0.8628392481538363,0.017110888071598173
0.4722344187374208,0.02520485137769736,0.8650040177989412,0.018684705299861687
0.46400459508625397,0.02940788313694393,0.8669755693271225,0.020284130181165778
0.45546596567057773,0.03401638034969237,0.8688713134698315,0.02186483025805977
0.4454562055140714,0.03827954585914563,0.8706346416422317,0.02336786081720485
0.43338017582456306,0.04164726513870355,0.8720446241777094,0.02471715695408562
0.4199329586452005,0.04383515961909444,0.8729680907138114,0.025835022433054463
0.4067081893553072,0.044811435266142736,0.873496838415986,0.02666671329674427
0.39514662101767645,0.044741474162502855,0.9890416294298484,0.027191321358637114
0.38591842557612555,0.04391499956946641,0.8742298210602957,0.02741295728219604
0.3789749490119295,0.042658500505668676,0.874647491769926,0.027347299296553332
0.3739049725724568,0.04125954180672117,0.8750765587420547,0.02701527451557609
0.37025645228195625,0.03993494536122985,0.9892025731337263,0.026441455872821294
0.367531852705153,0.038839467092570155,0.8757327173146157,0.02565320973218365
0.3649879858613345,0.03809788576217011,0.8757248447652567,0.024678810159778877
0.3618841633512891,0.037819247361893196,0.8752707892719142,0.023541688675323465
0.35811624067071196,0.03802290475977065,0.8741302700632404,0.022249264230069603
0.35437414326729566,0.03857074117544902,0.8719524873706234,0.020786058214012658
0.35155183964213804,0.03928945751325379,0.8684654948860198,0.019124193023391484
0.35001579172243674,0.0401093549935945,0.8637443092767034,0.017241192215838738
0.3493902730760372,0.04091894889936276,0.8581977975904554,0.9912230071994741
0.3489234156708523,0.04135636424414316,0.8523616738126423,0.012785022144591941
0.3479442761475925,0.04096401021380757,0.8467580245512154,0.010251521126768047
0.34592912508803875,0.03960844245817854,0.8417716474701396,0.0076003003875323265
0.3422680990880236,0.03768015313277558,0.8375574613602094,0.00493207450593771
0.3364049939162508,0.035814134675775565,0.8341166626546664,0.0023473270867620036
0.3285185000975957,0.03440177353373683,0.8313367698348088,0.9009668035592989
0.31985125829842387,0.03347967010892083,0.8288863005787003,0.9007456144837189
0.31211053567051483,0.9118002373845733,0.8262500291033867,0.9005471283506967
0.30652571153029523,0.03394809617682587,0.8229416144710092,0.9003693877430866
0.3033652759855554,0.036554342533652015,0.8186809320349264,0.9002057978460609
0.3021027897720475,0.04127164599706387,0.8134800245639985,0.9000452113119151
0.30191973943978645,0.04766771158271793,0.8076287080415723,0.8998742294398764
0.3021313683288006,0.054671784151442686,0.8015372733948607,0.8996804238885107
0.30220566051059455,0.06105605910452368,0.7954730634992239,0.899454538722296
0.3014453167850478,0.06602550696957342,0.7894402599125991,0.8991910980401172
0.29900077247101053,0.06943123600467625,0.7833372664151328,0.8988880083061442
0.2945205211367361,0.07147746676510414,0.7770293212115519,0.8985457731263539
0.2886807663336005,0.07244345999330574,0.7702477099329441,0.8981665762787735
0.2829151872706291,0.07274814051553974,0.7627258145049695,0.8977529110947493
0.27853461129402635,0.07289490796745078,0.7544609470798519,0.8973052734795912
0.27578760240483663,0.0730020912651041,0.7457438473565018,0.8968200465103469
0.2734842007846828,0.07243192609024698,0.7371424508669426,0.8962900974407254
0.2695032580107018,0.06994817360831077,0.7296129365602424,0.8957084772795308
0.2617715777892009,0.06419027423845045,0.7244207915813845,0.8950726725075169
